adduser                                 3.118
libipc-run3-perl                        0.048-2
libipc-system-simple-perl               1.30-1
libisl23                                0.23-1
libiterator-perl                        0.03+ds1-1.1
libiterator-util-perl                   0.02+ds1-1.1
libitm1                                 10.2.1-6
libjpeg62-turbo                         1:2.0.6-4
libjpeg62-turbo-dev                     1:2.0.6-4
libjson-maybexs-perl                    1.004003-1
libjsoncpp24                            1.9.4-4
libk5crypto3                            1.18.3-6+deb11u3
libkeyutils1                            1.6.1-2
libkrb5-3                               1.18.3-6+deb11u3
libkrb5support0                         1.18.3-6+deb11u3
libksba8                                1.5.0-3+deb11u2
libldap-2.4-2                           2.4.57+dfsg-3+deb11u1
liblist-compare-perl                    0.55-1
liblist-moreutils-perl                  0.430-2
liblist-moreutils-xs-perl               0.430-2
liblist-utilsby-perl                    0.11-1
liblsan0                                10.2.1-6
liblwp-mediatypes-perl                  6.04-1
liblwp-protocol-https-perl              6.10-1
liblz4-1                                1.9.3-2
liblzma5                                5.2.5-2.1~deb11u1
liblzo2-2                               2.10-2
libmagic-mgc                            1:5.39-3
libmagic1                               1:5.39-3
libmarkdown2                            2.2.6-1
libmodule-implementation-perl           0.09-1.1
libmodule-runtime-perl                  0.016-1
libmoo-perl                             2.004004-1
libmoox-aliases-perl                    0.001006-1.1
libmount1                               2.36.1-8+deb11u1
libmouse-perl                           2.5.10-1+b1
libmpc3                                 1.2.0-1
libmpdec3                               2.5.1-1
libmpfr6                                4.1.0-3
libnamespace-clean-perl                 0.27-1
libncurses6                             6.2+20201114-2
libncursesw6                            6.2+20201114-2
libnet-domain-tld-perl                  1.75-1.1
libnet-http-perl                        6.20-1
libnet-ssleay-perl                      1.88-3+b1
libnettle8                              3.7.3-1
libnghttp2-14                           1.43.0-1
libnpth0                                1.6-3
libnsl-dev                              1.3.0-2
libnsl2                                 1.3.0-2
libnumber-compare-perl                  0.03-1.1
libp11-kit-dev                          0.23.22-1
libp11-kit0                             0.23.22-1
libpackage-stash-perl                   0.39-1
libpam-modules                          1.4.0-9+deb11u1
libpam-modules-bin                      1.4.0-9+deb11u1
libpam-runtime                          1.4.0-9+deb11u1
libpam0g                                1.4.0-9+deb11u1
libparams-classify-perl                 0.015-1+b3
libparams-util-perl                     1.102-1+b1
libpath-tiny-perl                       0.118-1
libpcre2-8-0                            10.36-2+deb11u1
libpcre3                                2:8.39-13
libperl5.32                             5.32.1-4+deb11u2
libperlio-gzip-perl                     0.19-1+b7
libpipeline1                            1.5.3-1
libproc-processtable-perl               0.59-2+b1
libprocps8                              2:3.3.17-5
libpsl5                                 0.21.0-1.2
libpython3-stdlib                       3.9.2-3
libpython3.9-minimal                    3.9.2-1
libpython3.9-stdlib                     3.9.2-1
libquadmath0                            10.2.1-6
libreadline8                            8.1-1
librhash0                               1.4.1-2
librole-tiny-perl                       2.002004-1
librtmp1                                2.4+20151223.gitfa8646d.1-2+b2
libsasl2-2                              2.1.27+dfsg-2.1+deb11u1
libsasl2-modules-db                     2.1.27+dfsg-2.1+deb11u1
libseccomp2                             2.5.1-1+deb11u1
libselinux1                             3.1-3
libsemanage-common                      3.1-1
libsemanage1                            3.1-1+b2
libsepol1                               3.1-1
libsereal-decoder-perl                  4.018+ds-1+b1
libsereal-encoder-perl                  4.018+ds-1+b1
libsigsegv2                             2.13-1
libsmartcols1                           2.36.1-8+deb11u1
libsqlite3-0                            3.34.1-3
libss2                                  1.46.2-2
libssh2-1                               1.9.0-2
libssl1.1                               1.1.1n-0+deb11u4
libstdc++-10-dev                        10.2.1-6
libstdc++6                              10.2.1-6
libstrictures-perl                      2.000006-1
libsub-exporter-perl                    0.987-1
libsub-exporter-progressive-perl        0.001013-1
libsub-identify-perl                    0.14-1+b3
libsub-install-perl                     0.928-1.1
libsub-name-perl                        0.26-1+b1
libsub-override-perl                    0.09-2
libsub-quote-perl                       2.006006-1
libsystemd0                             247.3-7+deb11u1
libtasn1-6                              4.16.0-2+deb11u1
libtasn1-6-dev                          4.16.0-2+deb11u1
libtext-glob-perl                       0.11-1
libtext-levenshteinxs-perl              0.03-4+b8
libtext-markdown-discount-perl          0.12-1+b1
libtext-xslate-perl                     3.5.8-1+b1
libtime-duration-perl                   1.21-1
libtime-moment-perl                     0.44-1+b3
libtimedate-perl                        2.3300-2
libtinfo6                               6.2+20201114-2
libtirpc-common                         1.3.1-1+deb11u1
libtirpc-dev                            1.3.1-1+deb11u1
libtirpc3                               1.3.1-1+deb11u1
libtool                                 2.4.6-15
libtry-tiny-perl                        0.30-1
libtsan0                                10.2.1-6
libtype-tiny-perl                       1.012001-2
libubsan1                               10.2.1-6
libuchardet0                            0.0.7-1
libudev1                                247.3-7+deb11u1
libunbound8                             1.13.1-1
libunicode-utf8-perl                    0.62-1+b2
libunistring2                           0.9.10-4
liburi-perl                             5.08-1
libuuid1                                2.36.1-8+deb11u1
libuv1                                  1.40.0-2
libvariable-magic-perl                  0.62-1+b3
libwww-perl                             6.52-1
libwww-robotrules-perl                  6.02-1
libxml-libxml-perl                      2.0134+dfsg-2+b1
libxml-namespacesupport-perl            1.12-1.1
libxml-sax-base-perl                    1.09-1.1
libxml-sax-perl                         1.02+dfsg-1
libxml2                                 2.9.10+dfsg-6.7+deb11u3
libxxhash0                              0.8.0-2
libyaml-0-2                             0.2.2-1
libyaml-libyaml-perl                    0.82+repack-1+b1
libzstd1                                1.4.8+dfsg-2.1
lintian                                 2.104.0
linux-libc-dev                          5.10.162-1
login                                   1:4.8.1-1
logsave                                 1.46.2-2
lsb-base                                11.1.0
lzip                                    1.22-3
lzop                                    1.04-2
m4                                      1.4.18-5
make                                    4.3-4.1
man-db                                  2.9.4-2
mawk                                    1.3.4.20200120-2
media-types                             4.0.0
mount                                   2.36.1-8+deb11u1
ncurses-base                            6.2+20201114-2
ncurses-bin                             6.2+20201114-2
netbase                                 6.3
nettle-dev                              3.7.3-1
openssl                                 1.1.1n-0+deb11u4
packaging-dev                           0.8+nmu1
passwd                                  1:4.8.1-1
patch                                   2.7.6-7
patchutils                              0.4.2-1
pbuilder                                0.231
perl                                    5.32.1-4+deb11u2
perl-base                               5.32.1-4+deb11u2
perl-modules-5.32                       5.32.1-4+deb11u2
perl-openssl-defaults                   5
pinentry-curses                         1.1.0-4
po-debconf                              1.0.21+nmu1
procps                                  2:3.3.17-5
python3                                 3.9.2-3
python3-chardet                         4.0.0-1
python3-debian                          0.1.39
python3-gpg                             1.14.0-1+b2
python3-minimal                         3.9.2-3
python3-pkg-resources                   52.0.0-4
python3-six                             1.16.0-2
python3.9                               3.9.2-1
python3.9-minimal                       3.9.2-1
quilt                                   0.66-2.1
readline-common                         8.1-1
sed                                     4.7-1
sensible-utils                          0.0.14
sysvinit-utils                          2.96-7+deb11u1
t1utils                                 1.41-4
tar                                     1.34+dfsg-1
tzdata                                  2021a-1+deb11u8
ucf                                     3.0043
unzip                                   6.0-26+deb11u1
util-linux                              2.36.1-8+deb11u1
wdiff                                   1.2.2-2+b1
wget                                    1.21-1+deb11u1
xz-utils                                5.2.5-2.1~deb11u1
zlib1g                                  1:1.2.11.dfsg-2+deb11u2
zlib1g-dev                              1:1.2.11.dfsg-2+deb11u2
