adduser                                 3.118
libelf1                                 0.183-1
libevent-2.1-7                          2.1.12-stable-1
libexpat1                               2.2.10-2+deb11u5
libexpat1-dev                           2.2.10-2+deb11u5
libext2fs2                              1.46.2-2
libffi-dev                              3.3-6
libffi7                                 3.3-6
libfreetype-dev                         2.10.4+dfsg-1+deb11u1
libfreetype6                            2.10.4+dfsg-1+deb11u1
libfreetype6-dev                        2.10.4+dfsg-1+deb11u1
libfribidi-dev                          1.0.8-2+deb11u1
libfribidi0                             1.0.8-2+deb11u1
libgcc-10-dev                           10.2.1-6
libgcc-s1                               10.2.1-6
libgcrypt20                             1.8.7-6
libgdbm-compat4                         1.19-2
libgdbm6                                1.19-2
libgirepository-1.0-1                   1.66.1-1+b1
libglib2.0-0                            2.66.8-1
libglib2.0-bin                          2.66.8-1
libglib2.0-data                         2.66.8-1
libglib2.0-dev                          2.66.8-1
libglib2.0-dev-bin                      2.66.8-1
libgmp-dev                              2:6.2.1+dfsg-1+deb11u1
libgmp10                                2:6.2.1+dfsg-1+deb11u1
libgmpxx4ldbl                           2:6.2.1+dfsg-1+deb11u1
libgnutls-dane0                         3.7.1-5+deb11u3
libgnutls-openssl27                     3.7.1-5+deb11u3
libgnutls28-dev                         3.7.1-5+deb11u3
libgnutls30                             3.7.1-5+deb11u3
libgnutlsxx28                           3.7.1-5+deb11u3
libgomp1                                10.2.1-6
libgpg-error0                           1.38-2
libgraphite2-3                          1.3.14-1
libgraphite2-dev                        1.3.14-1
libgssapi-krb5-2                        1.18.3-6+deb11u3
libharfbuzz-dev                         2.7.4-1
libharfbuzz-gobject0                    2.7.4-1
libharfbuzz-icu0                        2.7.4-1
libharfbuzz0b                           2.7.4-1
libhogweed6                             3.7.3-1
libicu-dev                              67.1-7
libicu67                                67.1-7
libidn2-0                               2.3.0-5
libidn2-dev                             2.3.0-5
libimagequant-dev                       2.12.2-1.1
libimagequant0                          2.12.2-1.1
libisl23                                0.23-1
libjbig-dev                             2.1-3.1+b2
libjbig0                                2.1-3.1+b2
libjpeg62-turbo                         1:2.0.6-4
libjpeg62-turbo-dev                     1:2.0.6-4
libjs-jquery                            3.5.1+dfsg+~3.5.5-7
libjs-sphinxdoc                         3.4.3-2
libjs-underscore                        1.9.1~dfsg-3
libk5crypto3                            1.18.3-6+deb11u3
libkeyutils1                            1.6.1-2
libkrb5-3                               1.18.3-6+deb11u3
libkrb5support0                         1.18.3-6+deb11u3
liblcms2-2                              2.12~rc1-2
liblcms2-dev                            2.12~rc1-2
liblz4-1                                1.9.3-2
liblzma-dev                             5.2.5-2.1~deb11u1
liblzma5                                5.2.5-2.1~deb11u1
libmount-dev                            2.36.1-8+deb11u1
libmount1                               2.36.1-8+deb11u1
libmpc3                                 1.2.0-1
libmpdec3                               2.5.1-1
libmpfr6                                4.1.0-3
libncursesw6                            6.2+20201114-2
libnettle8                              3.7.3-1
libnsl-dev                              1.3.0-2
libnsl2                                 1.3.0-2
libopenjp2-7                            2.4.0-3
libopenjp2-7-dev                        2.4.0-3
libp11-kit-dev                          0.23.22-1
libp11-kit0                             0.23.22-1
libpam-modules                          1.4.0-9+deb11u1
libpam-modules-bin                      1.4.0-9+deb11u1
libpam-runtime                          1.4.0-9+deb11u1
libpam0g                                1.4.0-9+deb11u1
libpcre16-3                             2:8.39-13
libpcre2-16-0                           10.36-2+deb11u1
libpcre2-32-0                           10.36-2+deb11u1
libpcre2-8-0                            10.36-2+deb11u1
libpcre2-dev                            10.36-2+deb11u1
libpcre2-posix2                         10.36-2+deb11u1
libpcre3                                2:8.39-13
libpcre3-dev                            2:8.39-13
libpcre32-3                             2:8.39-13
libpcrecpp0v5                           2:8.39-13
libperl5.32                             5.32.1-4+deb11u2
libpng-dev                              1.6.37-3
libpng16-16                             1.6.37-3
libpython3-dev                          3.9.2-3
libpython3-stdlib                       3.9.2-3
libpython3.9                            3.9.2-1
libpython3.9-dev                        3.9.2-1
libpython3.9-minimal                    3.9.2-1
libpython3.9-stdlib                     3.9.2-1
libqpdf-dev                             11.2.0-1
libqpdf29                               11.2.0-1
libraqm-dev                             0.7.0-4
libraqm0                                0.7.0-4
libreadline8                            8.1-1
libseccomp2                             2.5.1-1+deb11u1
libselinux1                             3.1-3
libselinux1-dev                         3.1-3
libsemanage-common                      3.1-1
libsemanage1                            3.1-1+b2
libsepol1                               3.1-1
libsepol1-dev                           3.1-1
libsmartcols1                           2.36.1-8+deb11u1
libsqlite3-0                            3.34.1-3
libss2                                  1.46.2-2
libssl1.1                               1.1.1n-0+deb11u4
libstdc++-10-dev                        10.2.1-6
libstdc++6                              10.2.1-6
libsystemd0                             247.3-7+deb11u1
libtasn1-6                              4.16.0-2+deb11u1
libtasn1-6-dev                          4.16.0-2+deb11u1
libtiff-dev                             4.2.0-1+deb11u3
libtiff5                                4.2.0-1+deb11u3
libtiffxx5                              4.2.0-1+deb11u3
libtinfo6                               6.2+20201114-2
libtirpc-common                         1.3.1-1+deb11u1
libtirpc-dev                            1.3.1-1+deb11u1
libtirpc3                               1.3.1-1+deb11u1
libubsan1                               10.2.1-6
libudev1                                247.3-7+deb11u1
libunbound8                             1.13.1-1
libunistring2                           0.9.10-4
libuuid1                                2.36.1-8+deb11u1
libwebp-dev                             0.6.1-2.1
libwebp6                                0.6.1-2.1
libwebpdemux2                           0.6.1-2.1
libwebpmux3                             0.6.1-2.1
libxml2                                 2.9.10+dfsg-6.7+deb11u3
libxml2-dev                             2.9.10+dfsg-6.7+deb11u3
libxslt1-dev                            1.1.34-4+deb11u1
libxslt1.1                              1.1.34-4+deb11u1
libxxhash0                              0.8.0-2
libzstd1                                1.4.8+dfsg-2.1
linux-libc-dev                          5.10.162-1
login                                   1:4.8.1-1
logsave                                 1.46.2-2
lsb-base                                11.1.0
make                                    4.3-4.1
mawk                                    1.3.4.20200120-2
media-types                             4.0.0
mount                                   2.36.1-8+deb11u1
ncurses-base                            6.2+20201114-2
ncurses-bin                             6.2+20201114-2
netbase                                 6.3
nettle-dev                              3.7.3-1
openssl                                 1.1.1n-0+deb11u4
passwd                                  1:4.8.1-1
patch                                   2.7.6-7
perl                                    5.32.1-4+deb11u2
perl-base                               5.32.1-4+deb11u2
perl-modules-5.32                       5.32.1-4+deb11u2
pkg-config                              0.29.2-1
python-pip-whl                          20.3.4-4+deb11u1
python3                                 3.9.2-3
python3-dev                             3.9.2-3
python3-distutils                       3.9.2-1
python3-lib2to3                         3.9.2-1
python3-minimal                         3.9.2-3
python3-pip                             20.3.4-4+deb11u1
python3-pkg-resources                   52.0.0-4
python3-setuptools                      52.0.0-4
python3-wheel                           0.34.2-1
python3.9                               3.9.2-1
python3.9-dev                           3.9.2-1
python3.9-minimal                       3.9.2-1
readline-common                         8.1-1
sed                                     4.7-1
sysvinit-utils                          2.96-7+deb11u1
tar                                     1.34+dfsg-1
tzdata                                  2021a-1+deb11u8
util-linux                              2.36.1-8+deb11u1
uuid-dev                                2.36.1-8+deb11u1
xz-utils                                5.2.5-2.1~deb11u1
zlib1g                                  1:1.2.11.dfsg-2+deb11u2
zlib1g-dev                              1:1.2.11.dfsg-2+deb11u2
